Date,Processor,Site name,Latitude,Longitude,PixelX,PixelY,In situ Chl-a,In situ SPM,reflec_1_mean,reflec_2_mean,reflec_3_mean,reflec_4_mean,reflec_5_mean,reflec_6_mean,reflec_7_mean,reflec_8_mean,reflec_9_mean,reflec_10_mean,reflec_12_mean,reflec_13_mean,a_ys_443_mean,a_pig_443_mean,a_total_443_mean,bb_spm_443_mean,tsm_mean,chl_conc_mean,chiSquare_mean,K_min_mean,Z90_max_mean,Kd_490_mean,turbidity_index_mean,Number of pixels
20100628,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,5.91,17.28,0.004705606,0.006540961,0.012608003,0.016068683,0.023387431,0.015410245,0.010648391,0.00999032,0.006593738,0.002119652,0.00175067,0.000932368,0.721303582,0.214246369,0.935549941,0.138161865,11.95100096,4.230289724,0.510372778,0.579487218,-1.742176308,0.766096546,12.98580636,9
20101011,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,4.96,12.59,0.005108447,0.006887548,0.012556686,0.015125061,0.020562884,0.0122138,0.008243831,0.007760635,0.004769812,0.001507221,0.001243511,0.000667115,0.551810178,0.154773919,0.706584089,0.109635559,9.483476321,3.016474141,0.141199294,0.493404107,-2.029083888,0.590491951,9.318766382,9
20110307,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,4.77,13.10,0.00623307,0.009415465,0.017103979,0.021389948,0.030914535,0.025119703,0.019157539,0.017977427,0.014440729,0.005134339,0.004234714,0.002269745,1.125526494,0.338568982,1.464095447,0.29564728,25.57349078,6.808591207,0.249142059,0.989010678,-1.012126558,1.308492475,28.76179886,9
20110323,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,5.51,12.30,0.005839256,0.008401111,0.0156833,0.019513875,0.027209503,0.018552317,0.013219849,0.012453829,0.00814942,0.002631637,0.00217899,0.001170611,0.767050683,0.160532115,0.927582754,0.17435913,15.0820642,3.133284754,0.329066568,0.618014918,-1.619726817,0.810249243,16.79988882,9
20111017,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,5.70,14.15,0.007085547,0.011019634,0.020575669,0.025664913,0.035252727,0.027154681,0.020952944,0.019781204,0.014631625,0.005098686,0.004223556,0.002278136,1.029020853,0.19259181,1.221612652,0.278397606,24.08139377,3.786913342,0.241613413,0.832959923,-1.207661059,1.127697984,34.00727208,9
20080901,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,38.50,na,0.003748973,0.004572016,0.007905153,0.009654539,0.014060176,0.009050844,0.005825059,0.005365127,0.004372319,0.001447154,0.001185534,0.000610059,0.44591702,0.506030666,0.951947636,0.104929831,9.076430427,10.34180726,0.048156005,0.572756416,-1.753974305,0.754487998,6.494298458,9
20090504,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,9.62,na,0.006034092,0.008809746,0.016445766,0.020865695,0.029862604,0.022331911,0.016465933,0.01548873,0.011221761,0.003785751,0.003120371,0.001666876,0.920195957,0.255700077,1.175896049,0.222736446,19.26670265,5.084485266,0.478654934,0.752835492,-1.330779711,1.031271418,22.939753,9
20090608,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,5.20,na,0.006258635,0.009128683,0.0168208,0.021255833,0.030444114,0.023338583,0.01739119,0.016351896,0.012220614,0.004188665,0.00345055,0.001843319,0.952544524,0.285544468,1.238089005,0.242051656,20.93746694,5.70309178,0.470358776,0.795729988,-1.258766333,1.09777028,24.9133962,9
20090706,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,8.50,na,0.005900404,0.008485768,0.015953607,0.020278827,0.029142681,0.021180237,0.01541501,0.014499382,0.010163767,0.003376068,0.002784511,0.001488539,0.853969203,0.232507414,1.086476631,0.181501796,15.69990412,4.606048107,0.472026289,0.67589032,-1.4818864,0.917404208,21.02801789,9
20090817,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,16.30,na,0.004562939,0.005687231,0.009747785,0.0118479,0.017324638,0.011962557,0.008050516,0.007472584,0.005917406,0.001983154,0.00161456,0.000842321,0.590721865,0.465553923,1.056275792,0.133697801,11.56486056,9.482084486,0.155913269,0.632250574,-1.583474729,0.853386448,9.073147032,9
20100628,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,14.80,na,0.006389054,0.009335157,0.016575865,0.020747133,0.030229171,0.025051513,0.019087731,0.017895212,0.014794259,0.005306553,0.00435738,0.002321807,1.106990192,0.397079047,1.504069249,0.302921888,26.20274374,8.036192364,0.317759679,1.01747436,-0.983857135,1.348705067,28.58664703,9
20100802,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,38.50,na,0.004270682,0.005180492,0.008556176,0.010365771,0.015716194,0.011905357,0.008018599,0.007385436,0.006612409,0.002279726,0.001849141,0.000957628,0.639702022,0.636795395,1.276497391,0.151545392,13.10867755,13.13335503,0.097644644,0.72988379,-1.370881134,1.019596312,9.018104341,9
20110502,C2R,KdKVI_Keszthely,46.738201,17.268545,119.5,561.5,3.30,na,0.006522922,0.009589555,0.016758118,0.020777767,0.030230654,0.025466866,0.019493938,0.018257606,0.015362221,0.005550639,0.004564352,0.002436105,1.106819669,0.399955617,1.506775247,0.283492519,24.52210405,8.096637885,0.166388836,0.995165759,-1.006564432,1.322471923,29.58490668,9
20090330,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,5.55,na,0.004233618,0.006198149,0.012489146,0.016644172,0.025349643,0.018215051,0.012774922,0.011936382,0.008392885,0.002722793,0.002265433,0.001198035,0.947789848,0.268582712,1.216372543,0.170151947,14.71814399,5.351262569,0.5680471,0.698120091,-1.433778432,0.97500958,16.32365216,9
20090504,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,4.44,na,0.005747234,0.008164245,0.015377709,0.018863315,0.025692278,0.016111471,0.011164769,0.01052794,0.006334316,0.001987138,0.001655405,0.000896123,0.65050792,0.110160005,0.76066792,0.135804426,11.74708345,2.11795897,0.377818777,0.54641864,-1.831621647,0.654484378,13.5671126,9
